work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Senior,Full Time,Data Scientist,170000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,160000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Analyst,175000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,117000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,85000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,79000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Analytics Engineer,100000,US,Remote,US,M,Data Analyst
2024,Mid,Full Time,Analytics Engineer,75000,US,Remote,US,M,Data Analyst
2024,Senior,Full Time,Data Scientist,205000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,190000,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Engineer,331640,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,283780,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Applied Scientist,222200,US,In Person,US,L,Research Scientist
2024,Mid,Full Time,Applied Scientist,136000,US,In Person,US,L,Research Scientist
2024,Mid,Full Time,Big Data Developer,117000,US,In Person,US,L,Data Management
2024,Entry,Full Time,Business Intelligence Analyst,99000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Business Intelligence Analyst,72000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Manager,77000,US,In Person,US,M,Data Management
2024,Mid,Full Time,Data Manager,49900,US,In Person,US,M,Data Management
2024,Mid,Full Time,Data Analyst,95000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,70000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Scientist,203500,US,Remote,US,M,Data Scientist
2024,Mid,Full Time,Data Scientist,133000,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Engineer,104000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Engineer,80000,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Analyst,134400,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,100000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Scientist,33500,GB,In Person,GB,M,Data Scientist
2024,Entry,Full Time,Data Scientist,33500,GB,In Person,GB,M,Data Scientist
2024,Senior,Full Time,Data Scientist,81250,GB,Remote,GB,M,Data Scientist
